event_id,event_name,genre,market,venue_name,venue_capacity,tier,poll_timestamp,event_start,price_min,price_max,currency,days_until_event,price_mid,price_status,price_change,price_change_pct
rZ7HnEZ1AfFt07,Lyrical Rhythms,R&B,Cleveland Heights,B Side Lounge,,,2026-08-11 21:07:07+00:00,2026-08-12 00:00:00+00:00,6.67,6.67,USD,0.12005787037037037,6.67,listed,0.0,0.0
rZ7HnEZ1AfFt07,Lyrical Rhythms,R&B,Cleveland Heights,B Side Lounge,,,2026-08-11 21:07:50+00:00,2026-08-12 00:00:00+00:00,6.67,6.67,USD,0.11956018518518519,6.67,listed,0.0,0.0
rZ7HnEZ1AfFz80,"Lesser Birds, The Collect Pond, Good Karma, Plastic Actors",Rock,Cambridge,Middle East - Upstairs,,,2026-08-11 01:56:39+00:00,2026-08-11 23:00:00+00:00,20.34,20.34,USD,0.8773263888888889,20.34,listed,,
rZ7HnEZ1AfFz80,"Lesser Birds, The Collect Pond, Good Karma, Plastic Actors",Rock,Cambridge,Middle East - Upstairs,,,2026-08-11 21:07:07+00:00,2026-08-11 23:00:00+00:00,20.34,20.34,USD,0.0783912037037037,20.34,listed,0.0,0.0
rZ7HnEZ1AfFz80,"Lesser Birds, The Collect Pond, Good Karma, Plastic Actors",Rock,Cambridge,Middle East - Upstairs,,,2026-08-11 21:07:50+00:00,2026-08-11 23:00:00+00:00,20.34,20.34,USD,0.07789351851851851,20.34,listed,0.0,0.0
rZ7HnEZ1AfJ94K,"Abandoned Jukebox Featuring the Most Recorded Musicians in Music, Film & Television: Dean Parks • George Doering • Steve Lindsey • Jim Cox • Sean Hurley • Charlie Faragher • Bernie Dresel  & Friends",Jazz,Los Angeles,Blue Note Los Angeles,,,2026-08-11 01:41:44+00:00,2026-08-11 02:00:00+00:00,18.8,31.88,USD,0.012685185185185185,25.34,listed,,
rZ7HnEZ1AfJ94K,"Abandoned Jukebox Featuring the Most Recorded Musicians in Music, Film & Television: Dean Parks • George Doering • Steve Lindsey • Jim Cox • Sean Hurley • Charlie Faragher • Bernie Dresel  & Friends",Jazz,Los Angeles,Blue Note Los Angeles,,,2026-08-11 01:56:39+00:00,2026-08-11 02:00:00+00:00,18.8,31.88,USD,0.0023263888888888887,25.34,listed,0.0,0.0
rZ7HnEZ1AfJA3K,Angela Easley,Blues,Biloxi,Ground Zero Blues Club Biloxi,,,2026-08-11 21:07:50+00:00,2026-08-15 00:00:00+00:00,22.35,187.15,USD,3.1195601851851853,104.75,listed,,
rZ7HnEZ1AfJbPN,Magic Hunks,Dance/Electronic,Columbus,Skully's Music Diner,,,2026-08-11 01:41:44+00:00,2026-08-12 00:00:00+00:00,25.95,59.95,USD,0.9293518518518519,42.95,listed,,
rZ7HnEZ1AfJbPN,Magic Hunks,Dance/Electronic,Columbus,Skully's Music Diner,,,2026-08-11 01:56:39+00:00,2026-08-12 00:00:00+00:00,25.95,59.95,USD,0.9189930555555555,42.95,listed,0.0,0.0
rZ7HnEZ1AfJbPN,Magic Hunks,Dance/Electronic,Columbus,Skully's Music Diner,,,2026-08-11 21:07:07+00:00,2026-08-12 00:00:00+00:00,25.95,59.95,USD,0.12005787037037037,42.95,listed,0.0,0.0
rZ7HnEZ1AfJbPN,Magic Hunks,Dance/Electronic,Columbus,Skully's Music Diner,,,2026-08-11 21:07:50+00:00,2026-08-12 00:00:00+00:00,25.95,59.95,USD,0.11956018518518519,42.95,listed,0.0,0.0
rZ7HnEZ1AfJbbK,Oliver Sayani & Timbo,Country,Nashville,The Basement,,,2026-08-11 21:07:50+00:00,2026-08-13 00:00:00+00:00,12.85,12.85,USD,1.119560185185185,12.85,listed,,
rZ7HnEZ1AfJvud,"Donkey Basketball, Klej, Governor Vomit",Alternative,New York,Night Club 101,,,2026-08-09 21:20:33+00:00,2026-08-09 22:30:00+00:00,24.13,24.13,USD,0.04822916666666666,24.13,listed,,
rZ7HnEZ1AfOVaN,STS9 Human Dream Tour,Dance/Electronic,Bend,Midtown,,,2026-08-11 21:07:07+00:00,2026-08-13 03:00:00+00:00,48.31,48.31,USD,1.2450578703703703,48.31,listed,,
rZ7HnEZ1AfOVaN,STS9 Human Dream Tour,Dance/Electronic,Bend,Midtown,,,2026-08-11 21:07:50+00:00,2026-08-13 03:00:00+00:00,48.31,48.31,USD,1.244560185185185,48.31,listed,0.0,0.0
rZ7HnEZ1AfO_bS,The World Famous Harlem Gospel Choir,Religious,New York,Blue Note Jazz Club,,,2026-08-09 21:20:33+00:00,2026-08-09 17:30:00+00:00,11.01,43.66,USD,-0.16010416666666666,27.334999999999997,listed,,
rZ7HnEZ1AfP0Ad,THE CYBERTRONIC SPREE - P.R.O.M. TOUR,Rock,Phoenix,Crescent Ballroom,,,2026-08-11 21:07:50+00:00,2026-08-12 02:30:00+00:00,30.89,43.25,USD,0.22372685185185184,37.07,listed,,
rZ7HnEZ1AfP80N,"Benjamin William Hastings + Aodhán King: Happy To Be Here Tour - Sacramento (Elk Grove), CA",Religious,Elk Grove,Creekside Christian Church,,,2026-08-11 21:07:07+00:00,2026-08-13 02:00:00+00:00,27.62,93.02,USD,1.2033912037037038,60.32,listed,,
rZ7HnEZ1AfP80N,"Benjamin William Hastings + Aodhán King: Happy To Be Here Tour - Sacramento (Elk Grove), CA",Religious,Elk Grove,Creekside Christian Church,,,2026-08-11 21:07:50+00:00,2026-08-13 02:00:00+00:00,27.62,93.02,USD,1.2028935185185186,60.32,listed,0.0,0.0
rZ7HnEZ1AfPIbK,ROLLING QUARTZ [MY TURN] 2026 TOUR in Montreal,Pop,Montreal,Piranha Bar,,,2026-08-11 01:56:39+00:00,2026-08-11 23:00:00+00:00,49.6,332.69,CAD,0.8773263888888889,191.145,listed,,
rZ7HnEZ1AfPK3d,"Benjamin William Hastings + Aodhán King: Happy To Be Here Tour - Grants Pass, OR",Religious,Grants Pass,Edgewater Christian Fellowship,,,2026-08-11 21:07:50+00:00,2026-08-14 02:00:00+00:00,27.62,93.02,USD,2.2028935185185183,60.32,listed,,
rZ7HnEZ1AfPY3d,FREE MONDAY w/ Goose Harrington / World Energy Corporation / Hungu,Other,Chicago,Empty Bottle,,,2026-08-11 01:41:44+00:00,2026-08-11 02:00:00+00:00,0.0,0.0,USD,0.012685185185185185,0.0,free_or_no_charge,,
rZ7HnEZ1AfPZuN,RIOT,Dance/Electronic,Kansas City,Aura KC,,,2026-08-11 21:07:07+00:00,2026-08-14 02:30:00+00:00,18.95,31.24,USD,2.224224537037037,25.095,listed,,
rZ7HnEZ1AfPZuN,RIOT,Dance/Electronic,Kansas City,Aura KC,,,2026-08-11 21:07:50+00:00,2026-08-14 02:30:00+00:00,18.95,31.24,USD,2.223726851851852,25.095,listed,0.0,0.0
